Bachelor's of Computer Science,,,,,,,,,,,,,,,,
CSCI1100,CSCI1101,CSCI2100,CSCI2110,CSCI2121,CSCI2132,CSCI2141,CSCI3101,CSCI3110,CSCI3120,CSCI3130,CSCI3136,CSCI3171,MATH1000,MATH2030,MATH2060,CSCI2112
Options,,,,,,,,,,,,,,,,
MATH1010,CSCI2113,,,,,,,,,,,,,,,
Elective,,,,,,,,,,,,,,,,
FREE,1000,,,,,,,,,,,,,,,
FREE,1000,,,,,,,,,,,,,,,
FREE,2000,,,,,,,,,,,,,,,
FREE,2000,,,,,,,,,,,,,,,
FREE,2000,,,,,,,,,,,,,,,
FREE,2000,,,,,,,,,,,,,,,
FREE,2000,,,,,,,,,,,,,,,
FREE,2000,,,,,,,,,,,,,,,
FREE,2000,,,,,,,,,,,,,,,
CSCI,3000,,,,,,,,,,,,,,,
CSCI,3000,,,,,,,,,,,,,,,
CSCI,4000,,,,,,,,,,,,,,,
CSCI,4000,,,,,,,,,,,,,,,
CSCI,4000,,,,,,,,,,,,,,,
Special,,,,,,,,,,,,,,,,
"Business, Economics, Science, Engineering",1000,,,,,,,,,,,,,,,
"Business, Economics, Science, Engineering",1000,,,,,,,,,,,,,,,
"Business, Economics, Science, Engineering",2000,,,,,,,,,,,,,,,
"Humanities, Social Science",1000,,,,,,,,,,,,,,,
Writing,1000,,,,,,,,,,,,,,,
Writing,1000,,,,,,,,,,,,,,,
Science with Lab,1000,,,,,,,,,,,,,,,
Science with Lab,1000,,,,,,,,,,,,,,,
