Term ,Subject,Course Number,Section,CRN,Schedule Type,Monday,Tuesday,Wednesday,Thursday,Friday,Begin Time,End Time,Building,Room ,Maximum Enrollment,Actual Enrollment,Wait List Capacity,Wait List Count,All Instructors,Restrictions,Signature Req,Cross Listing
,,,,,,,,,,,,,,,,,,,,,,
201710,ACAD,20,1,10034,L,,T,,,,1435,1525,HALEY INSTITUTE,116,45,23,0,0,"Kevany, K.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ACAD,21,1,10035,L,,,,,,,,,,5,1,0,0,STAFF,R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ACAD,21,2,10036,L,,,,,,,,,,12,1,0,0,"Jones, K.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ACAD,1050,1,10037,L,,,,,,,,,,12,0,0,0,"Jones, K.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ACSC,4703,1,10038,L,M,,W,,F,935,1025,CHASE BLDG,319,5,2,0,0,"Kenney, T.",,,STAT 4703
,,,,,,,,,,,,,,,,,,,,,,
201710,ACSC,4720,1,10039,L,M,,W,,F,1135,1225,CHASE BLDG,319,5,1,0,0,"Kenney, T.",,,STAT 4720
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,1000,1,10040,L,,T,,R,,1005,1125,AGRICULTURAL COX INSTITUTE,24,160,81,0,0,"Caldwell, C.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,1000,B01,10041,B,,,,R,,1235,1425,AGRICULTURAL COX INSTITUTE,260,50,50,0,0,"Kilyanek, S./ Caldwell, C./ Parks, C.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,1000,B01,10041,B,,,,R,,1235,1425,AGRICULTURAL COX INSTITUTE,261,50,50,0,0,"Kilyanek, S./ Caldwell, C./ Parks, C.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,1000,B01,10041,B,,,,R,,1235,1425,AGRICULTURAL COX INSTITUTE,262,50,50,0,0,"Kilyanek, S./ Caldwell, C./ Parks, C.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,1000,B02,10042,B,,,,R,,1435,1625,AGRICULTURAL COX INSTITUTE,260,50,31,0,0,"Kilyanek, S./ Caldwell, C./ Parks, C.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,1000,B02,10042,B,,,,R,,1435,1625,AGRICULTURAL COX INSTITUTE,261,50,31,0,0,"Kilyanek, S./ Caldwell, C./ Parks, C.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,1000,B02,10042,B,,,,R,,1435,1625,AGRICULTURAL COX INSTITUTE,262,50,31,0,0,"Kilyanek, S./ Caldwell, C./ Parks, C.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,4000,1,10044,L,M,,,,,1735,2025,HALEY INSTITUTE,110,20,19,0,0,"Tennessen, T./ Patterson, D.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,5250,1,14110,L,,,W,,,1435,1555,AGRICULTURAL COX INSTITUTE,209,5,5,0,0,"Burton, D.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,5250,B01,12656,B,M,,,,,1435,1725,AGRICULTURAL COX INSTITUTE,209,5,5,0,0,"Burton, D.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,5260,1,12657,L,,,,,,,,,,5,0,0,0,"Prithiviraj, B.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,5280,1,12658,L,,,,,,,,,,5,0,0,0,"Cutler, G.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,5310,1,12659,L,,,,,,,,,,99,0,0,0,STAFF,R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,5320,1,12660,L,,,,,,,,,,5,0,0,0,"Anderson, D./ Fredeen, A.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,5320,2,12661,L,,,,,,,,,,10,0,0,0,"Fredeen, A.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,5340,1,12662,L,,,,,,,,,,5,0,0,0,"Montanholi, Y.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,5350,1,12663,L,,,,,,,,,,5,0,0,0,STAFF,R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,5370,1,12664,L,,,,,,,,,,5,0,0,0,STAFF,R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,5390,1,12665,L,,,,,,,,,,10,0,0,0,"Farid, A.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,5400,1,12666,L,,,,,,,,,,5,0,0,0,"Burton, D.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,5460,1,12667,L,,,,,,,,,,5,0,0,0,"France, R.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,5480,1,12668,L,,,,,,,,,,5,3,0,0,STAFF,R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,5510,1,12669,L,,,,,,,,,,5,0,0,0,STAFF,R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,5520,1,12670,L,,,,,,,,,,5,0,0,0,STAFF,R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,5540,1,12671,L,,,,,,,,,,10,4,0,0,"Lada, R.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,5560,1,12672,L,,,,,,,,,,5,0,0,0,"Caldwell, C.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,5570,1,12673,L,,,,,,,,,,5,1,0,0,STAFF,R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,5610,1,12674,L,,,,,,,,,,5,0,0,0,STAFF,R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,5630,1,12676,L,M,,W,,F,1435,1525,AGRICULTURAL COX INSTITUTE,262,20,13,0,0,"Astatkie, T.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,5630,B01,12677,B,M,,,,,1135,1225,AGRICULTURAL COX INSTITUTE,16,20,13,0,0,STAFF,,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,5700,1,12678,L,,T,,R,,1305,1425,AGRICULTURAL COX INSTITUTE,31,15,15,0,0,"Patterson, D./ Tennessen, T.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,5700,B01,12679,B,M,,,,,1435,1525,AGRICULTURAL COX INSTITUTE,208,15,15,0,0,"Patterson, D.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,5705X,1,13478,L,,,,,,,,,,50,0,0,0,"Patterson, D.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,5710X,1,14111,L,,,,,,,,,,50,2,0,0,"Patterson, D.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,5730,1,12680,L,,,,,,,,,,5,3,0,0,"Rupasinghe, V.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,5750,1,12681,L,,,,,,,,,,20,2,0,0,"Wang-Pruski, G.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,5770,1,12682,L,,,,,,,,,,10,0,0,0,"Nguyen-Quang, T.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,5770,T01,12683,T,,,,,,,,,,10,0,0,0,"Nguyen-Quang, T.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRI,9000,1,12684,S,,,,,,,,,,99,42,0,0,"Patterson, D.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRN,2001,1,10045,L,M,,W,,,1135,1255,AGRICULTURAL COX INSTITUTE,261,30,28,0,0,"Hammermeister, A.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,AGRN,2001,B01,10046,B,M,,,,,935,1125,AGRICULTURAL COX INSTITUTE,164,30,28,0,0,"Hammermeister, A./ Main, M.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANAT,1010,1,10047,L,M,,W,,F,1135,1225,TUPPER BLDG,THTR B,189,72,50,0,"Allen, G.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANAT,1020,1,10050,L,M,,W,,F,1535,1625,TUPPER BLDG,THTR B,180,144,45,0,"Allen, G.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANAT,1040,1,10051,L,M,,W,,F,835,925,BURBIDGE,109,94,72,0,0,"Kablar, B.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANAT,1040,T01,10052,T,M,,W,,F,935,1125,BURBIDGE,SEM1,94,72,0,0,"Kablar, B.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANAT,2160,1,10053,L,,,W,,,1335,1525,TUPPER BLDG,12K01,30,10,0,0,"Smith, F./ Doucet, J.",,,BIOL 3430
,,,,,,,,,,,,,,,,,,,,,,
201710,ANAT,2160,1,10053,L,,,W,,F,835,925,TUPPER BLDG,THTR B,30,10,0,0,"Smith, F./ Doucet, J.",,,BIOL 3430
,,,,,,,,,,,,,,,,,,,,,,
201710,ANAT,2160,B01,10054,B,,,,,F,1435,1625,TUPPER BLDG,12K01,30,10,0,0,"Smith, F.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANAT,5100X,1,13480,L,M,,W,,F,1035,1125,TUPPER BLDG,3H01,12,4,0,0,"Semba, K.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANAT,5100X,B01,13481,B,M,,,,,1435,1525,TUPPER BLDG,12K01,12,4,0,0,"Semba, K.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANAT,5130X,1,13482,L,,,,,,,,,,25,0,0,0,"Kablar, B.",R,S,PATH 5130X
,,,,,,,,,,,,,,,,,,,,,,
201710,ANAT,5162,1,12685,L,,,W,,F,935,1025,TUPPER BLDG,3H01,5,0,0,0,"Sinha, G.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANAT,5162,B01,12686,B,,,W,,F,1035,1225,TUPPER BLDG,14F01,5,0,0,0,"Sinha, G.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANAT,5170,1,14436,L,,,,,,,,,,6,1,0,0,"Semba, K.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANAT,5217,1,12687,L,M,,W,,,1335,1525,TUPPER BLDG,THTR B,130,116,0,0,"Rot, I./ Currie, W.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANAT,5217,B01,12688,B,M,,W,,F,1435,1625,TUPPER BLDG,14G01,130,116,0,0,"Rot, I./ Currie, W.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANAT,9000,1,12689,S,,,,,,,,,,50,9,0,0,STAFF,R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANAT,9530,1,12690,S,,,,,,,,,,50,12,0,0,STAFF,R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANSC,20,1,10055,L,M,,,,,1235,1325,HALEY INSTITUTE,111,20,11,0,0,"Fraser, G.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANSC,22,1,10056,L,,,,,F,935,1025,HALEY INSTITUTE,116,15,10,0,0,"Pelkey-Field, D.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANSC,112,1,10057,L,M,T,,R,,1135,1225,HALEY INSTITUTE,110,34,22,0,0,"Gatti-Yorke, S.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANSC,112,B01,10058,B,,,W,,,1135,1325,HALEY INSTITUTE,225,17,15,0,0,"Pelkey-Field, D.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANSC,112,B02,10059,B,,,W,,,935,1125,HALEY INSTITUTE,161,17,7,0,0,"Pelkey-Field, D.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANSC,206,1,10060,L,,,W,,,835,1125,AGRICULTURAL COX INSTITUTE,208,20,14,0,0,STAFF,R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANSC,206,B01,10061,B,,T,,,,935,1225,RUMINANT ANIMAL CENTRE,103,20,14,0,0,STAFF,,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANSC,213,1,10062,L,,,W,,,1305,1425,RURAL RESEARCH CENTRE,4,25,6,0,0,"Fraser, G.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANSC,213,1,10062,L,M,,,,,835,955,HALEY INSTITUTE,110,25,6,0,0,"Fraser, G.",R,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANSC,213,B01,10063,B,,T,,,,935,1125,HALEY INSTITUTE,200,25,6,0,0,"Pelkey-Field, D./ Fraser, G.",,,
,,,,,,,,,,,,,,,,,,,,,,
201710,ANSC,2002,1,10066,L,M,,,,,1335,1425,HALEY INSTITUTE,116,50,17,0,0,"Fraser, G.",,,
,,,,,,,,,,,,,,,,,,,,,,
